Data Type,Name,Area,Region,"January 2021 to 
March 2021","January 2022 to 
March 2022","January 2023 to 
March 2023","January 2024 to 
March 2024","January 2025 to 
March 2025",Count Diff,(%) Change,Latitude,Longitude
By Station,Cape Town Central,City of Cape Town District,Western Cape,1720,2653,3079,3322,3102,-220,-0.066225166,-33.9253,18.4247
By Station,Mfuleni,City of Cape Town District,Western Cape,1344,1433,1817,1953,1938,-15,-0.007680492,-34.0016,18.6764
By Station,Mitchells Plain,City of Cape Town District,Western Cape,1737,1973,2218,2116,1771,-345,-0.163043478,-34.0503,18.6187
By Station,Delft,City of Cape Town District,Western Cape,1489,1564,1597,1640,1767,127,0.077439024,-33.973,18.6455
By Station,Kraaifontein,City of Cape Town District,Western Cape,1464,1450,1578,1784,1578,-206,-0.115470852,-33.8478,18.7176
By Station,Nyanga,City of Cape Town District,Western Cape,1247,1301,1453,1354,1288,-66,-0.048744461,-33.9936,18.5838
By Station,Milnerton,City of Cape Town District,Western Cape,1005,1200,1411,1261,1261,0,0.0,,
By Station,Khayelitsha,City of Cape Town District,Western Cape,1247,1086,1019,1158,1218,60,0.051813472,-34.049,18.6723
By Station,Bellville,City of Cape Town District,Western Cape,1218,1147,1285,1213,1212,-1,-0.000824402,,
By Station,Table View,City of Cape Town District,Western Cape,863,1122,1288,1249,1191,-58,-0.04643715,,
By Station,Kleinvlei,City of Cape Town District,Western Cape,1113,1171,1064,1220,1184,-36,-0.029508197,-34.0047,18.713
By Station,Bishop Lavis,City of Cape Town District,Western Cape,912,948,959,1129,1033,-96,-0.085031001,-33.9478,18.5755
By Station,Kuilsrivier,City of Cape Town District,Western Cape,866,936,996,1029,1021,-8,-0.007774538,,
By Station,Somerset West,City of Cape Town District,Western Cape,783,827,887,854,999,145,0.169789227,,
By Station,Atlantis,City of Cape Town District,Western Cape,786,802,859,906,945,39,0.043046358,-33.5667,18.4833
By Station,Gugulethu,City of Cape Town District,Western Cape,894,886,931,942,938,-4,-0.004246285,-33.981,18.5645
By Station,Grassy Park,City of Cape Town District,Western Cape,1052,1054,1093,1087,936,-151,-0.138914443,-34.0496,18.5057
By Station,Parow,City of Cape Town District,Western Cape,1002,1083,1003,967,916,-51,-0.052740434,,
By Station,Elsies River,City of Cape Town District,Western Cape,796,944,1020,954,883,-71,-0.07442348,,
By Station,Athlone,City of Cape Town District,Western Cape,820,1004,975,1003,871,-132,-0.131605184,,
By Station,Lentegeur,City of Cape Town District,Western Cape,839,931,985,909,842,-67,-0.073707371,-34.039,18.611
By Station,Durbanville,City of Cape Town District,Western Cape,727,792,916,953,808,-145,-0.152151102,,
By Station,Sea Point,City of Cape Town District,Western Cape,426,638,763,843,805,-38,-0.045077106,,
By Type,Murder,,,711,762,660,906,867,-39,-0.043046358,,
By Type,Sexual offences,,,1038,1144,1059,1044,1026,-18,-0.017241379,,
By Type,Attempted murder,,,665,617,584,820,730,-90,-0.109756098,,
By Type,Assault with the intent to inflict grievous bodily harm,,,2423,2756,2698,2735,2824,89,0.032541133,,
By Type,Common assault,,,5310,6047,6577,7165,7222,57,0.007955338,,
By Type,Common robbery,,,1429,1764,1983,2332,2211,-121,-0.051886792,,
By Type,Robbery with aggravating circumstances,,,3717,3617,4335,4824,4386,-438,-0.09079602,,
By Type,Contact crime (Crimes against the person),,,15293,16707,17896,19826,19266,-560,-0.028245738,,
By Type,Rape,,,716,794,720,732,705,-27,-0.036885246,,
By Type,Sexual assault,,,259,272,253,213,244,31,0.145539906,,
By Type,Attempted sexual offences,,,32,49,57,65,43,-22,22 counts lower,,
By Type,Contact sexual offences,,,31,29,29,34,34,0,0 count diff,,
By Type,Carjacking,,,577,568,612,713,551,-162,-0.227208976,,
By Type,Robbery at residential premises,,,590,504,423,433,419,-14,-0.032332564,,
By Type,Robbery at non-residential premises,,,259,246,201,225,149,-76,-0.337777778,,
By Type,TRIO Crime,,,1426,1318,1236,1371,1119,-252,-0.18380744,,
By Type,Robbery of cash in transit,,,1,1,1,2,1,-1,1 count lower,,
By Type,Bank robbery,,,0,5,0,0,0,0,0 count diff,,
By Type,Truck hijacking,,,17,10,9,26,11,-15,15 counts lower,,
By Type,Arson,,,92,114,85,99,110,11,0.111111111,,
By Type,Malicious damage to property,,,3941,4315,4343,4192,4285,93,0.022185115,,
By Type,Contact-related crime,,,4033,4429,4428,4291,4395,104,0.024236775,,
By Type,Burglary at non-residential premises,,,952,876,998,859,597,-262,-0.305005821,,
By Type,Burglary at residential premises,,,3349,3557,3727,3425,2846,-579,-0.169051095,,
By Type,Theft of motor vehicle and motorcycle,,,938,1093,1097,1029,880,-149,-0.144800777,,
By Type,Theft out of or from motor vehicle,,,3480,3935,4155,4007,3600,-407,-0.101572249,,
By Type,Stock-theft,,,9,12,11,13,16,3,3 counts higher,,
By Type,Property-related crime,,,8728,9473,9988,9333,7939,-1394,-0.149362477,,
By Type,All theft not mentioned elsewhere,,,8327,9643,10463,9443,8459,-984,-0.104204172,,
By Type,Commercial crime,,,2578,3335,3746,4724,5143,419,0.08869602,,
By Type,Shoplifting,,,1624,1499,1500,1518,1167,-351,-0.231225296,,
By Type,Other serious crime,,,12529,14477,15709,15685,14769,-916,-0.058399745,,
By Type,17 Community reported serious crime,,,40583,45086,48021,49135,46369,-2766,-0.056293884,,
By Type,Illegal possession of firearms and ammunition,,,555,544,591,614,746,132,0.214983713,,
By Type,Drug-related crime,,,9038,12186,12004,13279,15136,1857,0.139844868,,
By Type,Driving under the influence of alcohol or drugs,,,481,706,1137,1070,973,-97,-0.090654206,,
By Type,Sexual offences detected as a result of police action,,,18,3,9,4,5,1,1 count higher,,
By Type,Crime detected as a result of police action,,,10092,13439,13741,14967,16860,1893,0.126478252,,
By Type,Kidnapping,,,140,167,137,207,146,-61,-0.29468599,,
